ResponseId,Q120
1,I agree
2,I agree
3,I agree
4,I agree
5,I agree
6,I agree
7,I agree
8,I agree
9,I agree
10,I agree
11,I agree
12,I agree
13,I agree
14,I agree
15,I agree
16,I agree
17,I agree
18,I agree
19,I agree
20,I agree
21,I agree
22,I agree
23,I agree
24,I agree
25,I agree
26,I agree
27,I agree
28,I agree
29,I agree
30,I agree
31,I agree
32,I agree
33,I agree
34,I agree
35,I agree
36,I agree
37,I agree
38,I agree
39,I agree
40,I agree
41,I agree
42,I agree
43,I agree
44,I agree
45,I agree
46,I agree
47,I agree
48,I agree
49,I agree
50,I agree
51,I agree
52,I agree
53,I agree
54,I agree
55,I agree
56,I agree
57,I agree
58,I agree
59,I agree
60,I agree
61,I agree
62,I agree
63,I agree
64,I agree
65,I agree
66,I agree
67,I agree
68,I agree
69,I agree
70,I agree
71,I agree
72,I agree
73,I agree
74,I agree
75,I agree
76,I agree
77,I agree
78,I agree
79,I agree
80,I agree
81,I agree
82,I agree
83,I agree
84,I agree
85,I agree
86,I agree
87,I agree
88,I agree
89,I agree
90,I agree
91,I agree
92,I agree
93,I agree
94,I agree
95,I agree
96,I agree
97,I agree
98,I agree
99,I agree
100,I agree
101,I agree
102,I agree
103,I agree
104,I agree
105,I agree
106,I agree
107,I agree
108,I agree
109,I agree
110,I agree
111,I agree
112,I agree
113,I agree
114,I agree
115,I agree
116,I agree
117,I agree
118,I agree
119,I agree
120,I agree
121,I agree
122,I agree
123,I agree
124,I agree
125,I agree
126,I agree
127,I agree
128,I agree
129,I agree
130,I agree
131,I agree
132,I agree
133,I agree
134,I agree
135,I agree
136,I agree
137,I agree
138,I agree
139,I agree
140,I agree
141,I agree
142,I agree
143,I agree
144,I agree
145,I agree
146,I agree
147,I agree
148,I agree
149,I agree
150,I agree
151,I agree
152,I agree
153,I agree
154,I agree
155,I agree
156,I agree
157,I agree
158,I agree
159,I agree
160,I agree
161,I agree
162,I agree
163,I agree
164,I agree
165,I agree
166,I agree
167,I agree
168,I agree
169,I agree
170,I agree
171,I agree
172,I agree
173,I agree
174,I agree
175,I agree
176,I agree
177,I agree
178,I agree
179,I agree
180,I agree
181,I agree
182,I agree
183,I agree
184,I agree
185,I agree
186,I agree
187,I agree
188,I agree
189,I agree
190,I agree
191,I agree
192,I agree
193,I agree
194,I agree
195,I agree
196,I agree
197,I agree
198,I agree
199,I agree
200,I agree
201,I agree
202,I agree
203,I agree
204,I agree
205,I agree
206,I agree
207,I agree
208,I agree
209,I agree
210,I agree
211,I agree
212,I agree
213,I agree
214,I agree
215,I agree
216,I agree
217,I agree
218,I agree
219,I agree
220,I agree
221,I agree
222,I agree
223,I agree
224,I agree
225,I agree
226,I agree
227,I agree
